tgrep_id,Mean,Var,YMin,YMax
12611:177,3.4,3.6000000000000005,2.3,4.6
126165:57,5.3,4.677777777777778,3.9,6.6
126348:16,5.25,1.986842105263158,4.65,5.751249999999999
126455:10,4.6,4.711111111111112,3.3,5.9
126460:28,4.7,1.788888888888889,3.9,5.5
126604:16,4.7,4.455555555555556,3.4,5.9
126610:15,2.8,5.511111111111111,1.5,4.2
126632:62,4.2,4.400000000000001,3,5.5
126761:25,4.9,2.1,3.9,5.7
126761:30,5,2.4444444444444446,4.1975,5.9
127011:17,5.3,2.9000000000000004,4.2,6.2
127169:7,5.3,2.011111111111111,4.5,6.002499999999998
127350:66,3,4.888888888888889,1.9,4.4
127456:31,5.2,2.4,4.3,6
127596:32,3.7,4.677777777777778,2.5,5
127761:15,3.2,2.8444444444444446,2.2,4.2
127919:39,3.2,2.8444444444444446,2.2,4.2
128104:24,4.2,1.5111111111111113,3.5,4.9
128305:9,3.2,4.4,1.9,4.5
128489:17,4,4,2.9,5.2
128696:11,3.7,4.677777777777777,2.5,5
129004:16,2.3,1.3444444444444443,1.6,3
129083:10,2.9,1.6555555555555557,2.1,3.7
129171:26,3.6,4.044444444444444,2.4,4.7
129179:18,4.6,2.7789473684210533,3.9,5.251249999999999
129583:26,4.8,2.8444444444444446,3.8,5.8
12998:28,4.7,6.01111111111111,3.1,6.002499999999998
129990:36,4.9,2.9888888888888903,3.9,5.9
130065:25,4.5,2.9444444444444446,3.4975,5.5
130087:11,4.1,4.988888888888889,2.8,5.402499999999998
130276:4,5.6,1.822222222222222,4.8,6.3
130514:28,4.2,1.7333333333333334,3.4,5
13056:42,6.5,0.7222222222222222,6,6.9
130584:43,3.8,5.511111111111111,2.4,5.2
13059:11,6.3,0.6777777777777777,5.8,6.8
130755:109,3.3,3.7888888888888883,2.1,4.5
130776:48,4.3,4.455555555555555,3.1,5.5
130776:68,3.9,3.2111111111111112,2.8,4.9
130807:72,4.3,3.1222222222222222,3.2,5.3024999999999975
13087:15,3.7,4.677777777777778,2.5,5
130958:7,5.1,3.4333333333333336,4,6.1
130994:56,2.8,1.9555555555555553,2,3.6
131277:37,3.8,4.844444444444445,2.5,5.2
131278:6,5.2,1.7333333333333332,4.4975000000000005,6
131517:11,5.4,2.488888888888889,4.5,6.3
131523:14,4.5,3.611111111111111,3.2975000000000003,5.5
131722:36,3.2,3.288888888888889,2.1,4.2
132148:16,5,2.2222222222222223,4,5.8
132402:20,5.3,3.1222222222222222,4.2,6.4
132454:18,4.9,4.322222222222222,3.6,6
132696:166,3.2,4.177777777777777,2.1,4.4
132933:5,5.7,2.677777777777778,4.6975,6.6
132933:57,4.2,3.9555555555555557,3.1,5.4
13296:18,5.1,2.1,4.2,6
133013:23,3.8,6.177777777777779,2.3975,5.2
133228:13,3,2.6666666666666665,2,4
133358:40,5,2.6666666666666665,3.9975,5.9
13347:160,3.2,3.9555555555555557,2.1,4.5
13347:26,3.4,6.711111111111111,2,5
133518:49,4.7,3.3444444444444446,3.6,5.7
134021:50,4.7,2.9000000000000004,3.6,5.6
134033:13,4.5,5.166666666666667,3.1,5.8
134101:49,3.1,3.6555555555555554,2,4.3
13411:17,4.7,3.3444444444444446,3.4,5.7
134169:64,3.55,3.418421052631578,2.75,4.3512499999999985
134176:40,4.8,4.3999999999999995,3.6,6.1
134176:70,5,4.444444444444445,3.7,6.2
134199:41,4.3,2.233333333333334,3.4,5.1
13420:11,4,3.7777777777777777,2.8975,5.2
134228:135,4,4.222222222222222,2.8,5.2
13424:16,4.9,2.7666666666666675,3.8,5.8
13424:44,4,1.7777777777777777,3.2,4.8
134301:16,3.7,4.01111111111111,2.5,4.8
134420:14,4.2,5.288888888888889,2.9,5.5
134420:23,3.7,2.677777777777778,2.8,4.6
134426:23,2.9,4.544444444444444,1.8,4.3
134426:32,3.4,2.933333333333334,2.4,4.4
134426:41,3.3,3.566666666666667,2.2,4.4
134426:48,3.9,4.7666666666666675,2.7,5.1
134479:41,5.4,3.3777777777777778,4.2,6.5
13469:7,5.3,4.233333333333333,4.1,6.4
135016:25,3.4,4.71111111111111,2.2,4.7
135035:25,3.8,3.0666666666666664,2.7,4.8
135381:35,4.7,5.344444444444444,3.3,6.1
135453:35,4.7,2.233333333333333,3.8,5.5
135535:24,5.1,2.5444444444444443,4.2,6
135551:31,3.6,3.3777777777777778,2.7,4.702499999999998
136110:19,3.5,2.0555555555555554,2.6,4.3
136126:11,2.9,3.6555555555555554,1.9,4.1
136135:14,3.4,4.933333333333334,2.2,4.8
136180:24,4.8,3.7333333333333334,3.6,5.8024999999999975
136193:24,3.6,5.155555555555556,2.3,4.9
136205:15,2.7,1.788888888888889,1.9,3.5
136292:43,4.3,2.677777777777778,3.3,5.2
136383:15,4,5.111111111111111,2.6,5.4
136539:14,5.5,4.055555555555555,4.1,6.5
137317:74,4.1,2.322222222222222,3.2,5
137619:16,2.4,4.711111111111111,1.3,3.8
137794:5,4.6,4.48888888888889,3.3,5.8
138037:56,2.8,3.0666666666666664,1.9,3.8
138141:9,2.8,3.9555555555555557,1.7,4
138142:20,4.2,4.844444444444445,2.8,5.5
138154:56,3.3,5.566666666666666,1.9975,4.7
138155:36,2.1,2.1,1.3,3
138174:28,2,1.1111111111111112,1.4,2.6
138291:103,2.9,2.988888888888889,2,4
138291:137,2.7,2.677777777777778,1.8,3.7
